Sl. No.,Country,2019-20,2020-21,2021-22,2022-23,2023-24
1,China,1207,843,833,1407,2687
2,Korea,2687,1947,2009,2228,2670
3,Japan,1018,560,664,841,1274
4,Vietnam,86,133,75,320,737
5,Taiwan,165,186,194,163,185
6,Nepal,6,6,9,59,120
7,Indonesia,464,79,241,148,94
8,Germany,135,146,151,112,80
9,Thailand,52,50,25,53,58
10,Russia,71,63,55,313,53
11,United Arab Emirates,21,21,24,12,52
12,Austria,13,71,9,10,52
13,Saudi Arabia,8,36,14,9,39
14,Italy,81,33,34,31,23
15,United States of America,65,54,29,17,20
16,Sweden,23,27,39,48,20
17,Hongkong,0,0,0,1,18
18,Belgium,74,56,28,33,17
19,Romania,3,1,1,2,17
20,France,56,121,58,77,15
21,Oman,4,12,5,7,11
22,Kuwait,8,3,3,3,9
23,South Africa,22,15,8,5,7
24,Finland,9,5,5,7,6
25,Canada,20,17,10,11,6
26,Malaysia,51,42,8,20,6
27,Spain,32,20,27,21,5
28,United Kingdom,17,11,6,5,4
29,Czech Republic,2,0,1,2,4
30,Singapore,139,43,8,6,4
31,Others,230,153,96,50,29
Total Imports,Total Imports,6768,4752,4669,6022,8320
Production of Finished Steel,Production of Finished Steel,102621,96204,113597,123196,139153
