Sl. No.,State/UT,2019-20,2020-21,2021-22,2022-23,2023-24
1,Andhra Pradesh,5165,4207,5556,5692,6062
2,Arunachal Pradesh,16,0,0,14,20
3,Assam,62,73,96,154,187
4,Bihar,666,647,740,916,932
5,Chandigarh,0,0,0,0,0
6,Chhattisgarh,10516,10070,11906,13140,15780
7,Dadra and Nagar Haveli and Daman and Diu,206,115,128,151,15
8,Delhi,13,25,29,13,161
9,Goa,522,380,381,433,476
10,Gujarat,9240,8779,10267,9436,11414
11,Haryana,580,642,762,718,829
12,Himachal Pradesh,786,655,1036,1236,1525
13,Jammu and Kashmir,268,244,329,330,340
14,Jharkhand,16499,14766,17267,18333,19796
15,Karnataka,11630,10856,11884,12282,12837
16,Kerala,465,441,523,592,556
17,Madhya Pradesh,543,497,828,982,1347
18,Maharashtra,8683,8677,11378,14454,16260
19,Meghalaya,58,41,52,71,68
20,Odisha,17109,16957,18454,19648,21747
21,Puducherry,322,308,317,383,457
22,Punjab,4453,4390,5196,5222,6117
23,Rajasthan,1982,1692,1876,2061,2246
24,Tamil Nadu,2646,2340,2734,3283,3811
25,Telangana,1737,1728,2089,2529,2971
26,Tripura,14,7,18,12,19
27,Uttar Pradesh,2421,1898,1992,2244,2737
28,Uttarakhand,685,571,571,577,619
29,West Bengal,5334,5197,7188,8290,9824
Total,Total,102621,96204,113597,123196,139153
