Sl. No.,State/UT,2021-22,2022-23,2023-24
1,Andhra Pradesh,7096,6288,6776
2,Arunachal Pradesh,69,40,46
3,Assam,108,66,110
4,Bihar,529,576,553
5,Chhattisgarh,14900,15876,19119
6,Dadra and Nagar Haveli,253,318,321
7,Daman and Diu,46,NA,NA
8,Delhi,5,6,8
9,Goa,407,407,445
10,Gujarat,9189,8628,10595
11,Haryana,941,833,899
12,Himachal Pradesh,1265,1286,1372
13,Jammu and Kashmir,146,162,151
14,Jharkhand,17094,18164,19321
15,Karnataka,13045,13393,13805
16,Kerala,325,379,414
17,Madhya Pradesh,569,644,909
18,Maharashtra,11370,13810,15678
19,Meghalaya,56,73,62
20,Odisha,23241,23398,25740
21,Puducherry,215,378,486
22,Punjab,3663,4063,4919
23,Rajasthan,621,681,891
24,Tamil Nadu,2633,3481,3635
25,Telangana,1464,1810,2274
26,Tripura,17,12,17
27,Uttar Pradesh,1197,1442,1868
28,Uttarakhand,991,911,902
29,West Bengal,8836,10073,12985
Total,Total,120293,127197,144299
